group,case,power_dB,bw_scale,Thr_Mbps,Energy_J,MeanSINR_dB,MeanMCS,MeanBLER,DropRatio,HO,RLF,PRButil
power_bw,"power=-10,bw=0.3",-10,0.3,60.6409220360647,7400.95999999986,21.4226811626961,24.2985655589995,0.000877042230078167,7.95660990525124e-06,16,0,1
power_bw,"power=-10,bw=0.5",-10,0.5,89.2366587334777,7290.44858922033,21.4226811626961,24.1800619909176,0.00090670554822666,5.40694147448762e-06,16,0,0.891509433962264
power_bw,"power=-10,bw=0.8",-10,0.8,133.49927899426,7226.2948184847,21.4226811626961,24.233591638133,0.00088762711534982,3.61423866679151e-06,16,0,0.838235294117647
power_bw,"power=-10,bw=1",-10,1,160.676448792661,7193.83767411462,21.4226811626961,24.3013407337995,0.000885477582590239,3.00292018349021e-06,16,0,0.797169811320755
power_bw,"power=-5,bw=0.3",-5,0.3,60.6450077897784,7470.15288512504,21.4250281047175,24.2998990845527,0.000877065119386375,7.9560738596473e-06,16,0,1
power_bw,"power=-5,bw=0.5",-5,0.5,89.2441719053113,7359.6414743454,21.4250281047175,24.1818280112449,0.000907193315198723,5.40648628441867e-06,16,0,0.891509433962264
power_bw,"power=-5,bw=0.8",-5,0.8,133.509904082457,7295.48770360988,21.4250281047175,24.235141466931,0.000887606962526571,3.61395103670084e-06,16,0,0.838235294117647
power_bw,"power=-5,bw=1",-5,1,160.689570322474,7263.03055923977,21.4250281047175,24.3030346716644,0.000886202847843857,3.00267497287498e-06,16,0,0.797169811320755
power_bw,"power=0,bw=0.3",0,0.3,60.64534240142,7688.96000000019,21.4257714531168,24.2999711670151,0.000876323272611084,7.95602996223245e-06,16,0,1
power_bw,"power=0,bw=0.5",0,0.5,89.2451619705031,7578.44858922055,21.4257714531168,24.1820442586319,0.000906505248638164,5.40642630643418e-06,16,0,0.891509433962264
power_bw,"power=0,bw=0.8",0,0.8,133.511684030423,7514.29481848498,21.4257714531168,24.2354298071725,0.000887057973924669,3.61390285648651e-06,16,0,0.838235294117647
power_bw,"power=0,bw=1",0,1,160.690344162589,7481.83767411472,21.4257714531168,24.3031067541267,0.000885433982697949,3.0026605128688e-06,16,0,0.797169811320755
power_bw,"power=5,bw=0.3",5,0.3,60.6456496387481,8380.88885125433,21.4260066397316,24.3000432494774,0.000876200991884391,7.95598965645692e-06,16,0,1
power_bw,"power=5,bw=0.5",5,0.5,89.2451800875773,8270.37744047426,21.4260066397316,24.1820442586319,0.000906228348305803,5.40642520891724e-06,16,0,0.891509433962264
power_bw,"power=5,bw=0.8",5,0.8,133.512301687364,8206.22366973871,21.4260066397316,24.2355018922328,0.00088693687032242,3.61388613784646e-06,16,0,0.838235294117647
power_bw,"power=5,bw=1",5,1,160.690376340803,8173.76652536863,21.4260066397316,24.3031067541267,0.000885172501201716,3.00265991158846e-06,16,0,0.797169811320755
power_bw,"power=10,bw=0.3",10,0.3,60.6456533882172,10568.9600000002,21.4260810242291,24.3000432494774,0.000876117668461109,7.95598916457501e-06,16,0,1
power_bw,"power=10,bw=0.5",10,0.5,89.2451858135666,10458.4485892204,21.4260810242291,24.1820442586319,0.000906140830209309,5.40642486204177e-06,16,0,0.891509433962264
power_bw,"power=10,bw=0.8",10,0.8,133.512310192119,10394.2948184848,21.4260810242291,24.2355018922328,0.000886853915869035,3.61388590764217e-06,16,0,0.838235294117647
power_bw,"power=10,bw=1",10,1,160.690683594361,10361.8376741148,21.4260810242291,24.3031788365891,0.000885182084314105,3.00265417027758e-06,16,0,0.797169811320755
