group,case,x,Thr_Mbps,Energy_J,MeanSINR_dB,MeanMCS,MeanBLER,DropRatio,HO,RLF,PRButil
power_offset_dB,power_offset_dB=-10,-10,160.676448792661,7193.83767411462,21.4226811626961,24.3013407337995,0.000885477582590239,3.00292018349021e-06,16,0,0.797169811320755
power_offset_dB,power_offset_dB=-5,-5,160.689570322474,7263.03055923977,21.4250281047175,24.3030346716644,0.000886202847843857,3.00267497287498e-06,16,0,0.797169811320755
power_offset_dB,power_offset_dB=0,0,160.690344162589,7481.83767411472,21.4257714531168,24.3031067541267,0.000885433982697949,3.0026605128688e-06,16,0,0.797169811320755
power_offset_dB,power_offset_dB=5,5,160.690376340803,8173.76652536863,21.4260066397316,24.3031067541267,0.000885172501201716,3.00265991158846e-06,16,0,0.797169811320755
power_offset_dB,power_offset_dB=10,10,160.690683594361,10361.8376741148,21.4260810242291,24.3031788365891,0.000885182084314105,3.00265417027758e-06,16,0,0.797169811320755
bandwidth_scale,bandwidth_scale=0.3,0.3,60.64534240142,7688.96000000019,21.4257714531168,24.2999711670151,0.000876323272611084,7.95602996223245e-06,16,0,1
bandwidth_scale,bandwidth_scale=0.5,0.5,89.2451619705031,7578.44858922055,21.4257714531168,24.1820442586319,0.000906505248638164,5.40642630643418e-06,16,0,0.891509433962264
bandwidth_scale,bandwidth_scale=0.8,0.8,133.511684030423,7514.29481848498,21.4257714531168,24.2354298071725,0.000887057973924669,3.61390285648651e-06,16,0,0.838235294117647
bandwidth_scale,bandwidth_scale=1,1,160.690344162589,7481.83767411472,21.4257714531168,24.3031067541267,0.000885433982697949,3.0026605128688e-06,16,0,0.797169811320755
energy_baseScale,energy_baseScale=0.6,0.6,160.690344162589,4793.83767411474,21.4257714531168,24.3031067541267,0.000885433982697949,3.0026605128688e-06,16,0,0.797169811320755
energy_baseScale,energy_baseScale=0.8,0.8,160.690344162589,6137.83767411451,21.4257714531168,24.3031067541267,0.000885433982697949,3.0026605128688e-06,16,0,0.797169811320755
energy_baseScale,energy_baseScale=1,1,160.690344162589,7481.83767411472,21.4257714531168,24.3031067541267,0.000885433982697949,3.0026605128688e-06,16,0,0.797169811320755
energy_baseScale,energy_baseScale=1.1,1.1,160.690344162589,8153.83767411466,21.4257714531168,24.3031067541267,0.000885433982697949,3.0026605128688e-06,16,0,0.797169811320755
energy_baseScale,energy_baseScale=1.3,1.3,160.690344162589,9497.83767411472,21.4257714531168,24.3031067541267,0.000885433982697949,3.0026605128688e-06,16,0,0.797169811320755
sleep_state,sleep_state=0,0,160.690344162589,7481.83767411472,21.4257714531168,24.3031067541267,0.000885433982697949,3.0026605128688e-06,16,0,0.797169811320755
sleep_state,sleep_state=1,1,0,3530.11928851263,17.3281042345495,0,0,1,0,0,0
sleep_state,sleep_state=2,2,0,1600.10119288517,16.6155004840748,0,0,1,0,0,0
scheduler_policy,scheduler_policy=none,1,160.690344162589,7481.83767411472,21.4257714531168,24.3031067541267,0.000885433982697949,3.0026605128688e-06,16,0,0.797169811320755
scheduler_policy,scheduler_policy=firstUE,2,190.856895840747,7629.85525269257,21.4257714531168,24.2862394579399,0.000883855083281732,2.52806574309415e-06,16,0,0.945754716981132
scheduler_policy,scheduler_policy=lowSINR,3,166.002238519544,7629.73609499439,21.4257714531168,23.895588553305,0.00102013894270541,2.90657886230187e-06,16,0,0.945754716981132
scheduler_policy,scheduler_policy=longQueue,4,190.856895840747,7629.85525269257,21.4257714531168,24.2862394579399,0.000883855083281732,2.52806574309415e-06,16,0,0.945754716981132
scheduler_policy,scheduler_policy=UElist_1_5_10_15_20,5,188.984737675437,7629.85525269257,21.4257714531168,24.2246810351042,0.000901554915058495,2.5531097064209e-06,16,0,0.945754716981132
